PlantNum,WTM_X,WTM_Y,AY,Course,Density,Bed,PlotID,Row,RowID,OldLocFt,NewLoc,NewLocFt,NewLocIn,NewLocDecFt,NewLocM,PlotLen,PlotLenFt,PlotLenIn,PlotLenDecFt,PlotLen_m,RelativePos,FrontX_WTM,BackX_WTM,FrontY_WTM,BackY_WTM
1,556043.1908,405112.1373,0,1,High,2,H-102,1,H-102-1,1'11,2'10,2,10,2.8333,0.8636,21'6,21,6,21.5,6.5532,0.131782946,556043.1761,556043.2876,405111.2948,405117.6877
2,556043.8992,405078.1952,1,5,High,2,H-502,2,H-502-2,20'2,21'0,21,0,21,6.4008,22'4,22,4,22.3333,6.8072,0.940298507,556044.015,556043.8919,405071.7716,405078.603
3,556082.624,405095.4828,0,3,Low,5,L-305,3,L-305-3,13'0,13'10,13,10,13.8333,4.2164,20'6,20,6,20.5,6.2484,0.674796748,556082.727,556082.5744,405091.2771,405097.5097
4,556078.347,405072.0866,0,5,Low,3,L-503,1,L-503-1,1'8,1'8,1,8,1.6667,0.508,20'9,20,9,20.75,6.3246,0.080321285,556078.3516,556078.2938,405071.5675,405078.0306
5,556068.0207,405116.9896,0,1,High,5,H-115,3,H-115-3,19'6,20'2,20,2,20.1667,6.1468,20'11,20,11,20.9167,6.3754,0.964143426,556068.0566,556068.0194,405111.0045,405117.2122
6,556067.5732,405116.147,1,1,High,5,H-115,2,H-115-2,16'7,17'4,17,4,17.3333,5.2832,20'11,20,11,20.9167,6.3754,0.828685259,556067.5861,556067.5705,405111.0064,405117.2097
7,556067.573,405116.1964,1,1,High,5,H-115,2,H-115-2,16'6,17'6,17,6,17.5,5.334,20'11,20,11,20.9167,6.3754,0.836653386,556067.5861,556067.5705,405111.0064,405117.2097
8,556062.5378,405092.0906,0,3,High,2,H-312,3,H-312-3,1'10,2'4,2,4,2.3333,0.7112,21'0,21,0,21,6.4008,0.111111111,556062.5388,556062.5298,405091.3876,405097.7142
9,556084.0426,405081.8991,1,4,Low,6,L-406,2,L-406-2,1'0,1'4,1,4,1.3333,0.4064,20'3,20,3,20.25,6.1722,0.065843621,556084.0394,556084.0876,405081.4887,405087.7213
10,556103.6142,405083.1616,0,4,Low,7,L-417,1,L-417-1,5'8,6'1,6,1,6.0833,1.8542,20'4,20,4,20.3333,6.1976,0.299180328,556103.6149,556103.6124,405081.3216,405087.4718
11,556043.228,405114.2682,1,1,High,2,H-102,1,H-102-1,9'1,10'0,10,0,10,3.048,21'6,21,6,21.5,6.5532,0.465116279,556043.1761,556043.2876,405111.2948,405117.6877
12,556043.2738,405116.8948,1,1,High,2,H-102,1,H-102-1,18'3,18'10,18,10,18.8333,5.7404,21'6,21,6,21.5,6.5532,0.875968992,556043.1761,556043.2876,405111.2948,405117.6877
