SampleID,Year,SampleType,SampleNum,Date,Subgroup,R16,Ref_1A,SNP125_1B,SNP162_1B,Prp1A,Prp1B,SAP05,SAP06,SAP11,SAP13,SAP15,SAP19,SAP21,SAP27,SAP35,SAP36,SAP41,SAP42,SAP44,SAP45,SAP48,SAP49,SAP54,SAP66,SAP67,SAP68
2018_C_0025,2018,C,25,2018-08-21,1A,337,331,6,6,0.982195846,0.017804154,2517,13315,4651,11052,15801,1839,19,313,891,145,16094,17625,2864,5415,11294,11324,337,7980,207,651
2018_C_0026,2018,C,26,2018-08-21,1B,335,5,328,330,0.014925373,0.985074627,2037,45,17,27,55,9,0,415,657,219,450,6876,4346,23,11504,14313,198,57,0,0
2018_C_0027,2018,C,27,2018-08-21,1A,113,113,0,0,1,0,1601,9062,2269,5192,10998,1005,0,47,359,33,9851,9661,1369,3267,6449,9939,123,5091,33,229
2018_C_0028,2018,C,28,2018-08-21,1B,123,5,118,116,0.040650407,0.959349593,205,43,25,31,73,13,0,503,737,251,479,5754,3737,53,11624,16636,231,89,5,9
2018_C_0029,2018,C,29,2018-08-21,1B,969,17,952,938,0.01754386,0.98245614,347,121,53,69,171,37,3,861,2297,497,99,14249,7523,81,20747,20613,523,125,7,9
2018_C_0030,2018,C,30,2018-08-21,1B,461,9,452,452,0.019522777,0.980477223,199,149,29,61,129,15,0,501,1253,259,9595,8326,5906,67,24855,24117,293,207,13,17
2018_C_0031,2018,C,31,2018-08-21,1B,543,7,536,530,0.012891344,0.987108656,233,245,53,81,109,29,0,515,1131,305,1597,10529,4973,71,19336,19357,257,341,5,11
2018_C_0032,2018,C,32,2018-08-21,1B,349,13,336,336,0.037249284,0.962750716,279,51,13,39,97,13,0,351,1235,227,290,6833,6339,37,21146,24725,239,63,0,3
2018_C_0034,2018,C,34,2018-08-21,1B,303,11,292,292,0.03630363,0.96369637,3191,67,29,47,147,17,0,379,1015,151,2511,14891,7881,79,36347,24322,313,167,3,13
2018_C_0035,2018,C,35,2018-08-21,1B,205,1,204,204,0.004878049,0.995121951,2966,42,25,37,129,5,0,247,885,125,114,7074,6277,49,24754,23952,281,61,0,3
2018_C_0036,2018,C,36,2018-08-21,1B,493,19,474,468,0.038539554,0.961460446,3369,65,41,63,165,27,0,467,863,235,97,11626,6946,91,19219,27125,197,119,0,5
2018_C_0037,2018,C,37,2018-08-21,1B,431,11,420,414,0.025522042,0.974477958,2484,41,19,33,89,13,0,425,683,233,66,5783,4192,33,16031,18976,169,57,0,7
2018_C_0038,2018,C,38,2018-08-21,1B,427,9,418,416,0.021077283,0.978922717,2785,17,27,25,77,15,0,467,809,185,159,6040,3809,39,7557,16501,284,57,0,9
2018_C_0039,2018,C,39,2018-08-21,1A,379,375,4,4,0.98944591,0.01055409,3835,14486,4719,9837,12816,1981,33,485,793,263,14483,21003,2912,5807,10261,10932,301,7929,139,723
