Date,Density,PlotID,Location,Stand,NewAY,CumAY,Incidence
2018-06-27,High,H-102,Edge,434,0,0,0
2018-06-27,High,H-115,Edge,420,0,0,0
2018-06-27,High,H-207,Interior,465,0,0,0
2018-06-27,High,H-217,Interior,469,0,0,0
2018-06-27,High,H-306,Interior,492,0,0,0
2018-06-27,High,H-312,Interior,383,0,0,0
2018-06-27,High,H-405,Interior,562,0,0,0
2018-06-27,High,H-411,Interior,436,0,0,0
2018-06-27,High,H-502,Edge,509,0,0,0
2018-06-27,High,H-509,Edge,653,0,0,0
2018-06-27,Low,L-108,Edge,193,0,0,0
2018-06-27,Low,L-111,Edge,115,0,0,0
2018-06-27,Low,L-202,Interior,163,0,0,0
2018-06-27,Low,L-215,Interior,201,0,0,0
2018-06-27,Low,L-305,Interior,143,0,0,0
2018-06-27,Low,L-315,Interior,181,0,0,0
2018-06-27,Low,L-406,Interior,193,0,0,0
2018-06-27,Low,L-417,Interior,189,0,0,0
2018-06-27,Low,L-503,Edge,165,0,0,0
2018-06-27,Low,L-511,Edge,210,0,0,0
2018-07-11,High,H-102,Edge,413,0,0,0
2018-07-11,High,H-115,Edge,468,0,0,0
2018-07-11,High,H-207,Interior,528,0,0,0
2018-07-11,High,H-217,Interior,498,0,0,0
2018-07-11,High,H-306,Interior,535,0,0,0
2018-07-11,High,H-312,Interior,371,0,0,0
2018-07-11,High,H-405,Interior,561,0,0,0
2018-07-11,High,H-411,Interior,422,0,0,0
2018-07-11,High,H-502,Edge,488,1,1,0.00204918
2018-07-11,High,H-509,Edge,661,0,0,0
2018-07-11,Low,L-108,Edge,252,0,0,0
2018-07-11,Low,L-111,Edge,119,0,0,0
2018-07-11,Low,L-202,Interior,179,0,0,0
2018-07-11,Low,L-215,Interior,235,0,0,0
2018-07-11,Low,L-305,Interior,167,0,0,0
2018-07-11,Low,L-315,Interior,213,0,0,0
2018-07-11,Low,L-406,Interior,242,0,0,0
2018-07-11,Low,L-417,Interior,190,0,0,0
2018-07-11,Low,L-503,Edge,198,0,0,0
2018-07-11,Low,L-511,Edge,221,0,0,0
2018-07-25,High,H-102,Edge,432,0,0,0
2018-07-25,High,H-115,Edge,464,2,2,0.004310345
2018-07-25,High,H-207,Interior,503,0,0,0
2018-07-25,High,H-217,Interior,486,0,0,0
2018-07-25,High,H-306,Interior,548,0,0,0
2018-07-25,High,H-312,Interior,362,0,0,0
2018-07-25,High,H-405,Interior,560,0,0,0
2018-07-25,High,H-411,Interior,436,0,0,0
2018-07-25,High,H-502,Edge,458,0,1,0.002183406
2018-07-25,High,H-509,Edge,638,0,0,0
2018-07-25,Low,L-108,Edge,259,0,0,0
2018-07-25,Low,L-111,Edge,122,0,0,0
2018-07-25,Low,L-202,Interior,184,0,0,0
2018-07-25,Low,L-215,Interior,251,0,0,0
2018-07-25,Low,L-305,Interior,159,0,0,0
2018-07-25,Low,L-315,Interior,214,0,0,0
2018-07-25,Low,L-406,Interior,240,1,1,0.004166667
2018-07-25,Low,L-417,Interior,190,0,0,0
2018-07-25,Low,L-503,Edge,194,0,0,0
2018-07-25,Low,L-511,Edge,223,0,0,0
2018-08-08,High,H-102,Edge,451,2,2,0.00443459
2018-08-08,High,H-115,Edge,461,1,3,0.006507592
2018-08-08,High,H-207,Interior,514,0,0,0
2018-08-08,High,H-217,Interior,464,0,0,0
2018-08-08,High,H-306,Interior,547,1,1,0.001828154
2018-08-08,High,H-312,Interior,345,0,0,0
2018-08-08,High,H-405,Interior,568,0,0,0
2018-08-08,High,H-411,Interior,410,0,0,0
2018-08-08,High,H-502,Edge,483,0,1,0.002070393
2018-08-08,High,H-509,Edge,628,0,0,0
2018-08-08,Low,L-108,Edge,252,2,2,0.007936508
2018-08-08,Low,L-111,Edge,124,1,1,0.008064516
2018-08-08,Low,L-202,Interior,193,0,0,0
2018-08-08,Low,L-215,Interior,232,1,1,0.004310345
2018-08-08,Low,L-305,Interior,155,1,1,0.006451613
2018-08-08,Low,L-315,Interior,211,0,0,0
2018-08-08,Low,L-406,Interior,213,0,1,0.004694836
2018-08-08,Low,L-417,Interior,190,1,1,0.005263158
2018-08-08,Low,L-503,Edge,199,2,2,0.010050251
2018-08-08,Low,L-511,Edge,233,0,0,0
2018-08-21,High,H-102,Edge,405,0,2,0.004938272
2018-08-21,High,H-115,Edge,454,1,4,0.008810573
2018-08-21,High,H-207,Interior,455,1,1,0.002197802
2018-08-21,High,H-217,Interior,493,0,0,0
