SampleID,Year_Type,Year,SampleType,SampleNum,Date,Subgroup,R16,Ref_1A,SNP125_1B,SNP162_1B,Prp1A,Prp1B,SAP05,SAP06,SAP11,SAP13,SAP15,SAP19,SAP21,SAP27,SAP35,SAP36,SAP41,SAP42,SAP44,SAP45,SAP48,SAP49,SAP54,SAP66,SAP68,SAP67
2016_LH_0001,2016_LH,2016,LH,1,,1B,171,5,166,164,0.029239766,0.970760234,1893,49,21,51,127,15,0,189,339,101,76,4502,5265,33,17661,24481,35,181,9,0
2016_LH_0047,2016_LH,2016,LH,47,,1A1B,143,63,80,80,0.440559441,0.559440559,2210,15819,1593,6379,7037,589,0,127,173,31,19800,11409,1838,2635,16047,20436,17,8413,157,69
2016_LH_0049,2016_LH,2016,LH,49,,1A1B,133,29,102,104,0.218045113,0.781954887,1927,8180,669,1817,2243,185,0,111,127,49,9573,5698,1396,1122,6474,15670,19,4311,99,25
2016_LH_0051,2016_LH,2016,LH,51,,1A,75,75,0,0,1,0,1317,5562,243,31,997,61,0,61,33,9,9732,1739,290,385,4497,10422,3,2893,73,27
2016_LH_0052,2016_LH,2016,LH,52,,1A,121,113,8,8,0.933884298,0.066115702,2062,11566,1217,4832,7981,561,5,179,161,63,11068,11104,1149,2547,6821,14033,13,5893,237,89
2016_LH_0055,2016_LH,2016,LH,55,,1A,113,93,20,18,0.82300885,0.17699115,1651,10601,1129,3413,5089,495,0,97,87,31,13465,6897,996,1799,5565,13715,13,6409,209,81
2016_LH_0056,2016_LH,2016,LH,56,,1A,267,257,10,10,0.962546816,0.037453184,4090,17666,3461,11753,17821,1433,7,225,413,69,24155,23633,2499,6597,13437,20301,107,10613,323,99
2016_LH_0057,2016_LH,2016,LH,57,,1A,61,61,0,0,1,0,2261,8369,757,3572,4477,393,0,57,77,0,11596,6135,871,2095,6545,11749,11,5709,115,3
2016_LH_0058,2016_LH,2016,LH,58,,1A1B,143,55,88,86,0.384615385,0.615384615,2375,13550,1319,4563,5047,653,5,127,195,37,10990,8282,1683,3389,7059,13020,43,7089,193,41
2016_LH_0059,2016_LH,2016,LH,59,,1B,211,5,206,206,0.023696682,0.976303318,1677,31,7,21,49,13,0,151,129,37,82,1111,2795,21,8090,18899,3,27,3,0
2016_LH_0062,2016_LH,2016,LH,62,,1A,49,49,0,0,1,0,1837,6457,711,2753,2525,295,3,91,77,23,8796,4461,627,1587,5906,7774,9,4601,187,13
2016_LH_0064,2016_LH,2016,LH,64,,1A,123,105,18,18,0.853658537,0.146341463,2237,8208,819,1957,4390,385,0,129,105,31,16007,6201,1211,2001,11694,16899,11,7183,249,55
2016_LH_0066,2016_LH,2016,LH,66,,1B,245,5,240,240,0.020408163,0.979591837,795,1015,69,273,311,45,0,205,93,123,6081,955,1790,213,7723,14525,9,1511,47,39
2016_LH_0067,2016_LH,2016,LH,67,,1A,103,97,6,6,0.941747573,0.058252427,1979,9866,1201,2613,6037,643,0,81,141,19,13048,7785,1325,2593,10082,16286,9,3811,185,43
2016_LH_0068,2016_LH,2016,LH,68,,1A,53,53,0,0,1,0,1284,6345,475,2637,3409,373,0,45,33,5,8798,2951,617,1267,5620,11582,5,5397,91,23
2016_LH_0073,2016_LH,2016,LH,73,,1A1B,93,41,52,52,0.440860215,0.559139785,1511,11230,547,4027,4595,349,0,47,63,15,11903,6117,999,2217,8873,19884,0,9291,63,31
2016_LH_0074,2016_LH,2016,LH,74,,1B,137,17,120,120,0.124087591,0.875912409,1638,13691,1045,4137,2667,547,0,117,305,85,14997,10437,2898,2917,16198,21370,27,11857,137,47
