SampleID,Date,Density,PlotLoc,PlotID,SangerRFLP,Monsterplex,Subgroup,is_1A,is_1B,is_1A1B
2018_C_0002,2018-07-11,High,Edge,H-502,1B,,1B,0,1,0
2018_C_0006,2018-07-25,High,Edge,H-115,1B,,1B,0,1,0
2018_C_0007,2018-07-25,High,Edge,H-115,1B,,1B,0,1,0
2018_C_0009,2018-07-25,Low,Interior,L-406,1B,,1B,0,1,0
2018_C_0011,2018-08-08,High,Edge,H-102,1B,,1B,0,1,0
2018_C_0012,2018-08-08,High,Edge,H-102,1A,,1A,1,0,0
2018_C_0013,2018-08-08,High,Edge,H-115,1A,,1A,1,0,0
2018_C_0014,2018-08-08,Low,Edge,L-108,1B,,1B,0,1,0
2018_C_0015,2018-08-08,Low,Edge,L-108,1B,,1B,0,1,0
2018_C_0016,2018-08-08,Low,Edge,L-111,1A,,1A,1,0,0
2018_C_0017,2018-08-08,Low,Interior,L-215,1B,,1B,0,1,0
2018_C_0020,2018-08-08,High,Interior,H-306,1B,,1B,0,1,0
2018_C_0021,2018-08-08,Low,Interior,L-305,1A,,1A,1,0,0
2018_C_0022,2018-08-08,Low,Interior,L-417,1A,,1A,1,0,0
2018_C_0023,2018-08-08,Low,Edge,L-503,1A,,1A,1,0,0
2018_C_0024,2018-08-08,Low,Edge,L-503,1A,,1A,1,0,0
2018_C_0025,2018-08-21,High,Edge,H-502,1A,1A,1A,1,0,0
2018_C_0026,2018-08-21,Low,Edge,L-511,1B,1B,1B,0,1,0
2018_C_0027,2018-08-21,Low,Interior,L-417,1A,1A,1A,1,0,0
2018_C_0028,2018-08-21,Low,Interior,L-406,1B,1B,1B,0,1,0
2018_C_0029,2018-08-21,Low,Interior,L-406,1B,1B,1B,0,1,0
2018_C_0030,2018-08-21,Low,Interior,L-406,1B,1B,1B,0,1,0
2018_C_0031,2018-08-21,Low,Interior,L-406,1B,1B,1B,0,1,0
2018_C_0032,2018-08-21,Low,Interior,L-406,1B,1B,1B,0,1,0
2018_C_0034,2018-08-21,High,Interior,H-411,1B,1B,1B,0,1,0
2018_C_0035,2018-08-21,High,Interior,H-411,1B,1B,1B,0,1,0
2018_C_0036,2018-08-21,Low,Interior,L-305,1B,1B,1B,0,1,0
2018_C_0037,2018-08-21,High,Interior,H-207,1B,1B,1B,0,1,0
2018_C_0038,2018-08-21,High,Edge,H-115,1B,1B,1B,0,1,0
2018_C_0039,2018-08-21,Low,Edge,L-111,1A,1A,1A,1,0,0
2018_C_0040,2018-08-21,Low,Edge,L-111,1A,1A,1A,1,0,0
2018_C_0041,2018-09-06,Low,Edge,L-503,1A,1A,1A,1,0,0
2018_C_0046,2018-09-06,Low,Edge,L-111,1B,,1B,0,1,0
2018_C_0047,2018-09-18,High,Edge,H-502,1A,1A,1A,1,0,0
2018_C_0048,2018-09-18,High,Edge,H-502,1A,1A,1A,1,0,0
2018_C_0051,2018-09-18,High,Edge,H-509,1A,1A,1A,1,0,0
2018_C_0052,2018-09-18,Low,Edge,L-503,1A,1A,1A,1,0,0
2018_C_0053,2018-09-18,Low,Edge,L-503,1B,,1B,0,1,0
2018_C_0054,2018-09-18,Low,Edge,L-503,1A,1A,1A,1,0,0
2018_C_0055,2018-09-18,Low,Interior,L-417,1A,1A,1A,1,0,0
2018_C_0056,2018-09-18,Low,Interior,L-417,1A,1A,1A,1,0,0
2018_C_0057,2018-09-18,Low,Interior,L-417,1A,1A,1A,1,0,0
2018_C_0058,2018-09-18,Low,Interior,L-406,1A,1A,1A,1,0,0
